RegionName,Latitude,Longitude,Embedding_P6,tsne_Component1_P6,tsne_Component2_P6
Paraguay,-23.24,-58.39,"[-0.23683229088783264, 0.031752586364746094, -0.07690425217151642, 0.25345784425735474, 0.35747066140174866, 0.0, 0.0, 0.0, 0.5354434229721037, 0.14561986923217773, -0.08342350739685445, 0.020509108703105627, 0.29503098130226135, 0.0, 0.17520365118980408, -0.34558022022247314, -0.197108194231987, -0.07737017422914505, 0.0, 0.0, 0.0, 0.3161299228668213, 0.0, 0.0, -0.7200488445786046, 0.1791968047618866, 0.0, 0.0, 0.7989057884580524, 0.8309647474033519, -0.263481080532074, -0.06731847673654556, 0.0, 0.14669354259967804, 0.21101577579975128, -0.2029491811990738, 0.0, 0.0, 0.3626752495765686, 0.04022550582885742, -0.22388628125190735, 0.0, 0.19026927649974823, -0.042683325707912445, 0.0, 0.0, -0.12513290345668793, 0.19593605399131775, 0.0, -0.39611175475306826, 0.0, 0.0, 0.1588105708360672, 0.0, 0.0, 0.22412888705730438, 0.01277930662035942, 0.0, 0.08814453333616257, 0.0, 0.0, -0.11524616926908493, 0.6283860113754349, 0.24048180516787965, -0.007525103894694962, 0.0, 0.0, 0.027628149837255478, 0.0, 0.0, 0.13043950498104095, 0.4078925848007202, 0.0674782320857048, -0.23489493131637573, 0.0, 0.0, 0.0, 0.7699353580922126, 0.009076653979718685, -0.5376845506110952, 0.0, 0.0, 0.08076895773410797, -0.05688008666038513, 0.0019048090325668454, 0.0, -0.30400747060775757, 0.0, -0.06865281611680984, -0.03492603823542595, 0.6942730666304511, -0.05405104160308838, 0.0, 0.3904162079797713, 0.2929651439189911, 0.0, 0.0, 0.0, -0.7034394499769323, 0.7798376574769619, 0.0, 0.0, 0.06272900849580765, 0.03223163262009621, 0.0, -0.2751949727535248, -0.13002407094855561, -0.2791139498950772, 0.34209814191111865, 0.008806601148920623, -0.18102291226387024, 0.15875332057476044, 0.0, 0.24996142089366913, 0.0, 0.0, 0.0, -0.3601245343370776, 0.0, 0.0, 0.30450126170102787, 0.0, 0.3870793282985687, 0.09874754399061203, 0.0, 0.0, 0.09450628608465195, -0.47782807660200904, -0.19166605174541473, 0.1588609665632248, 0.0048993052914738655, -0.28356231379432006, -0.2440914809703827, 0.0, 0.2692550718784332, -0.4595526456832886, -0.28944813988821827, -0.29839340469173214, 0.0, 0.0, 0.0, 0.0, 0.0, -0.17147399485111237, 0.001760231563821435, 0.0, 0.0672338004172045, 0.0, 0.05304550379514694, 0.0, -0.4622689667468079, -0.31435704231262207, -0.1141112670302391, 0.0, 0.0, 0.0, 0.0, -0.025864344090223312, 0.14323386549949646, 0.5608557496904651, -0.19562354683876038, 0.15375345945358276, 0.0, 0.0, -0.13465692102909088, -0.582077405660302, -0.5420576862294497, 0.0, 0.05430745705962181, 0.18443162739276886, 0.0, -0.10548602789640427, 0.0, 0.0, -0.2745489601381783, 0.24319367110729218, 0.003510961541905999, 0.0, 0.14816051721572876, 0.0, 0.0, 0.032761216163635254, -0.08040560781955719, 0.07049651443958282, 0.0, 0.011756090447306633, -0.5844227835589986, -0.6614978424444293, -0.16215702891349792, 0.11790924519300461, 0.0, 0.0036159248556941748, 0.0, -0.22250400483608246, 0.0, -0.04925662651658058, 0.0, -0.06757427006959915, 0.24239729344844818, -0.3908555507659912, 0.0, 0.0, -0.7578607187168617, 0.0, 0.0, 0.4344109552286908, -0.274167537689209, 0.4950486847029649, -0.5085312029270692, 0.035991448909044266, -0.02043507993221283, -0.08908137368681279, 0.0, 0.289733350276947, -0.032207050848863994, 0.0, -0.07740019261837006, 0.7261166873839386, -0.15742233395576477, 0.0, 0.0, 0.40423908829689026, -0.14108878374099731, 0.2010723352432251, 0.0, 0.0, -0.3534834384918213, 0.0, -0.4725444919865737, 0.0, -0.1494486927986145, -0.0193062461912632, 0.0, 0.0, -0.03515411540865898, -0.7623771323244071, 0.0, -0.3092166483402252, 0.395226188903383, -0.10885196924209595, -0.5268645491731125, 0.1075277179479599, 0.14435946941375732, 0.0, 0.03268181160092354, 0.0, 0.18775257468223572, -0.29309967160224915, -0.23864451050758362, 0.0, 0.3905826807022095, 0.09450580924749374, 0.0020862622186541557, 0.0, 0.10288736969232559, 0.0, 0.47063599705223913, 0.0, 0.8727732241860817, 0.0, 0.0, 0.0, -0.1162596270442009, -0.43788323482793445, -0.1870780777612745, 0.27243950967062425, 0.24614793062210083, 0.0, -0.008420121856033802, 0.07510841637849808, 0.0, 0.0, -0.27357247471809387, 0.0, -0.4246542032288166, 0.0, -0.22968965768814087, 0.17217914760112762, 0.0, 0.005009948275983334, -0.6455024706211536, 0.0, 0.0, 0.0, 0.4381980710534443, 0.23055541515350342, -0.33841677337135934, 0.0, -0.12280005216598511, 0.006376130972057581, 0.0, 0.0, 0.03569778800010681, 0.13693386316299438, 0.0, -0.36813583970069885, 0.0, 0.0, 0.8948114568180616, -0.11301748968126213, 0.0, 0.0, 0.0, 0.13741320371627808, 0.0, 0.045470308512449265, 0.06073843687772751, 0.0, 0.7922241051060284, 0.10858765989542007, 0.0, 0.0, 0.8771157433484387, 0.14453881978988647, 0.0009530222741886973, 0.0, -0.2892061769962311, -0.12375681847333908, -0.010632111690938473, -0.3007968068122864, 0.0, 0.0, 0.08421104415765779, 0.2710609997288467, -0.46615634952528745, 0.2981749176979065, -0.6976577990115024, 0.0, -0.03313622996211052, 0.0, -0.0031230964232236147, -0.024310017004609108, -0.15314482152462006, -0.050674072746105914, 0.0, 0.1168033555150032, -0.30113425850868225, -0.252524554964331, 0.15191231667995453, 0.0, 0.3740332038113028, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01125969085842371, 0.049091923981904984, 0.0, 0.0, 0.03454570844769478, 0.0, 0.0, 0.08919324725866318, 0.1839304268360138, 0.0, -0.02687208727002144, 0.0, 0.0953032523393631, 0.0, 0.1996449969926366, 0.0, 0.0, 0.0, 0.0, -0.3874938270065632, 0.0, -0.6514864132839244, 0.0, 0.01116559561342001, 0.0, 0.0, -0.5847519155174736, -0.08736425638198853, 0.0, 0.0, 0.15164318680763245, 0.0, 0.0, -0.0046878717839717865, -0.3056076169013977, 0.3250864227040482, -0.2038232982158661, 0.0, 0.0, -0.1543012261390686, 0.0, -0.027796156704425812, 0.03118819184601307, -0.14290279150009155, -0.33936432003974915, -0.0800417885184288, 0.506683546205468, 0.3790183961391449, 0.0, 0.03081110492348671, 0.0, -0.06525932997465134, 0.06901035457849503, 0.0, 0.0, 0.0, 0.0, 0.47687495850364514, -0.13542912900447845, -0.14472569525241852, 0.0, 0.13740688562393188, 0.5617965451888647, 0.17409586906433105, 0.0, -0.08507422357797623, -0.17420367896556854, 0.4105572528504331, -0.06364144384860992, 0.0, 0.0, 0.0, 0.41176283351226983, 0.3098506729331538, 0.4706894091918017, -0.02007323130965233, 0.09117109328508377, 0.09503291547298431, 0.0, 0.20274077355861664, -0.16404560208320618, 0.0, 0.15370707213878632, 0.0, -0.8359819831138231, 0.0, 0.642463469025425, 0.03766350820660591, 0.6472778519817557, 0.0, -0.1728081852197647, 0.0, -0.11956853419542313, 0.06794025748968124, -0.19704675674438477, 0.0, 0.0, -0.33779409527778625, 0.0, 0.0, 0.10889746493216546, -0.04279563948512077, 0.17365890741348267, 0.0, 0.41154215560210394, 0.0, 0.055180273950099945, -0.1895589679479599, 0.32455150437167957, 0.0, 0.0, 0.0, 0.24669933319091797, 0.0966038876500952, 0.017928805202245712, -0.03188392147421837, -0.06326543539762497, 0.0, 0.0, 0.0, 0.0, 0.19276760518550873, 0.0, 0.0, -0.08672097325325012, 0.8274108340639965, 0.05288390815258026, 0.0, -0.2317468917681892, -0.44159336337871585, -0.027574194595217705, 0.0, -0.23271988332271576, 0.05440237373113632, 0.0, 0.15540900826454163, 0.0, -0.011757426895201206, 0.0, 0.0, 0.16143159568309784, 0.061723992228507996, -0.7091266733131609, 0.0, 0.0, 0.0, 0.0, 0.4128780663013458, -0.5398707389831543, 0.0, -0.18378956615924835, 0.0, 0.0, -0.703532093600452, 0.0, 0.0, 0.0, 0.0, -0.4873791750319514, 0.02654564008116722, 0.09439578988667985, -0.3640815317630768]",0.08251563,-0.9513566
Sao Tome,0.46,6.74,"[0.023890728032722297, 0.5009906726140365, -0.15069961547851562, 0.0, 0.0, -0.146383136510849, -0.14467763900756836, 0.0, -0.17487414181232452, -0.10732658952474594, 0.0, 0.0, 0.0, -0.1148933544754982, 0.15907426178455353, -0.3163059485060852, 0.0, 0.0, 0.07575833052396774, 0.0, -0.10329462587833405, -0.32699703618247544, -0.33380210399627686, 0.5517621438783475, -0.44629672169685364, 0.0, 0.13951130211353302, 0.06212350353598595, 0.023429198190569878, 0.0, 0.0, 0.0, 0.4367859959602356, -0.28897449374198914, 0.6158452167419064, 0.0, 0.0, -0.08860501646995544, 0.0, 0.0, -0.59386816826914, -0.08621249347925186, 0.1930813491344452, 0.0, 0.0, 0.07676839083433151, 0.0, -0.1748644858598709, 0.0, 0.0, -0.4314329164571067, -0.2437293827533722, 0.0, -0.1632998287677765, 0.1242527887225151, -0.16062013804912567, 0.0, 0.0, 0.06196887046098709, 0.0, 0.08446313440799713, 0.04335576295852661, -0.3198847472667694, -0.04591044411063194, 0.0, 0.27883243560791016, 0.9050783556634951, 0.6460956882165896, 0.31326737999916077, 0.19764360785484314, 0.0, -0.34165191466296185, -0.3203924894332886, 0.0, 0.0, 0.06519568711519241, 0.0, 0.0, 0.11396300047636032, 0.0, 0.1651439666748047, 0.0658441111445427, 0.0, 0.11562526226043701, 0.17035910384025343, 0.081369549036026, 0.1233668252825737, 0.0, 0.0, -0.20125819742679596, 0.0, 0.0, 0.0, 0.0, 0.06861463934183121, 0.0, 0.16609901189804077, 0.0, 0.0, 0.0, 0.0, 0.1962537318468094, 0.0, -0.6594108401730743, -0.21814578771591187, 0.0, -0.3410331606864929, 0.0, 0.0, -0.5641478300094604, 0.005007623229175806, -0.031099945306777954, -0.002520643174648285, -0.0138315689135724, -0.06996538800143925, -0.7825392904992963, -0.1696610450744629, -0.277300089597702, 0.8759507171672596, 0.1925588697195053, 0.0, -0.0023155955233435943, -0.19374142587184906, 0.12137722223997116, 0.2584434449672699, 0.062425270676612854, -0.29240885376930237, 0.04612066596746445, -0.06933511793613434, 0.08402782678604126, -0.053099464949279196, 0.0, 0.0, 0.3177861273288727, 0.0, 0.0, 0.0, 0.2165902704000473, 0.01089524943381548, 0.0, -0.7179342355440136, -0.344966588486065, 0.0, 0.0, -0.06504695862531662, 0.0, 0.77496952385513, 0.07122181355953217, -0.5678855310806503, 0.0068132762830941385, -0.36397644877433777, 0.0, 0.0, 0.8104494131431461, -0.2129766345024109, 0.0, 0.0, -0.15263202786445618, 0.0, 0.37939442063066053, -0.11091243475675583, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2834526002407074, 0.009212449193000793, 0.9147644317036665, 0.2510420083999634, 0.0, -0.13509506676262073, 0.0, -0.5860241192796061, -0.10711618512868881, 0.1079363077878952, 0.0, 0.2891879677772522, 0.09520123153924942, 0.0, 0.0, 0.0, -0.16268092393875122, 0.0, 0.21475556432524434, 0.07516687363386154, -0.1618790626525879, 0.0, 0.0, 0.0, -0.006109573878347874, -0.1839630288055364, 0.0, 0.8909024165812256, -0.7505451440811157, 0.09860262815433618, 0.010049841366708279, -0.11844320595264435, 0.0, 0.0, -0.32939964532852173, 0.0, 0.0, 0.0, 0.019763465970754623, 0.11345800012350082, 0.0, -0.7684794720458021, -0.05805334076285362, -0.1312684565782547, 0.0, -0.2609330415725708, 0.0, 0.27673885226249695, -0.19757533073425293, -0.4793272018432617, 0.0, 0.5787297991832656, 0.0, 0.4290893077850342, 0.25153210759162903, 0.2590789496898651, -0.5824160575866699, 0.35878756642341614, 0.08586693555116653, -0.1602969616651535, -0.39195558428764343, 0.04772051423788071, 0.0, 0.0, 0.08208116143941879, 0.02602003514766693, 0.047920309007167816, -0.297342985868454, 0.7255144808481493, -0.20248088240623474, 0.06152806803584099, 0.0, -0.03423403203487396, 0.0, -0.04030769690871239, -0.21106305718421936, 0.0, 0.2769664227962494, 0.14565932750701904, 0.872896595269846, -0.22623285183593378, 0.0, -0.2339267134666443, 0.0, 0.0, -0.6313984561356516, -0.20887894928455353, 0.0, 0.03379937261343002, -0.09567700326442719, 0.0, 0.0, 0.0, -0.296684085051804, 0.0, 0.0, 0.04035598412156105, 0.0, 0.10395064949989319, 0.0, -0.5218820500596324, 0.0, -0.03386061638593674, -0.8559502997537247, 0.0, 0.3061225116252899, -0.11407144367694855, -0.1665206253528595, 0.07024524360895157, -0.09115056693553925, -0.38466450572013855, 0.0, -0.696082296131998, 0.0, -0.4231965403641729, 0.0, 0.04911055415868759, -0.08866941928863525, 0.0, 0.249315544962883, -0.1599075198173523, 0.23397521674633026, 0.024180684238672256, 0.08075232803821564, 0.0, 0.03587161749601364, 0.0, -0.14536765217781067, 0.15609107911586761, 0.0, -0.3594820059825581, 0.5614550097869415, 0.0, -0.1573793888092041, -0.6806846261024475, 0.056625258177518845, 0.0, 0.0, -0.7818889118493281, 0.0, 0.0, -0.4456295073032379, -0.6468498626876109, 0.0, 0.0, -0.38867855072021484, 0.0, 0.0, -0.18887083232402802, 0.0, 0.6069031061555452, 0.0, 0.0, -0.3918006420135498, 0.0, -0.2786582410335541, 0.0, 0.0, 0.446063756942749, 0.0, 0.0, 0.02744072489440441, -0.3711167871952057, 0.0, 0.05690822750329971, 0.5079811895174822, 0.17221543192863464, 0.28923749923706055, 0.10629194229841232, -0.6907799118423679, -0.08256373554468155, 0.0, -0.010491209104657173, 0.06450348347425461, -0.48917168378829956, 0.0, 0.0, -0.04813329875469208, 0.015486462973058224, 0.16486811788031175, 0.5585063809568633, 0.0, 0.0, -0.0297933928668499, 0.0, 0.0, 0.0, 0.11092006415128708, 0.0, -0.14065436036887302, 0.0, 0.20577691495418549, 0.0, -0.06987940520048141, -0.3004010319709778, 0.0, -0.15833330154418945, 0.38627463579177856, 0.007442459464073181, 0.0, -0.18165025115013123, -0.036654215306043625, 0.02406439557671547, 0.24812056124210358, 0.0, 0.15836678984125863, -0.22679965198040009, 0.0, 0.0, 0.05066755414009094, 0.40867440817888134, -0.06066744029521942, 0.0, 0.08601104468107224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08666422963142395, -0.22933094203472137, 0.0, 0.8179291726133064, -0.07448317110538483, 0.03742557018995285, 0.0, 0.0, -0.09840106219053268, -0.6878047851543784, 0.26639152738751615, 0.36410775780677795, 0.7106347534785429, 0.0, 0.0, -0.20382224023342133, 0.0, 0.0, 0.016044100746512413, 0.0, 0.29070374369621277, -0.8287514989209367, -0.11385580152273178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017879081889986992, 0.0, 0.06678929179906845, -0.02510971762239933, 0.0, -0.19413024187088013, 0.0, 0.00510877650231123, 0.0, -0.26961901783943176, 0.0, -0.34983521699905396, 0.755183589058009, -0.02315494231879711, 0.0, -0.053264840706033656, -0.12849931418895721, 0.13255138273273936, 0.0, 0.7281981984622197, 0.0, 0.0, 0.0, 0.0, -0.03374987095594406, 0.0, 0.044631391763687134, 0.10613133758306503, 0.21681411564350128, 0.0, 0.0, 0.19729849805841138, 0.23672728410654043, 0.0, 0.0, -0.10114289075136185, 0.0, -0.009401842951774597, 0.0, 0.14778026938438416, 0.0, -0.09400970181172497, -0.37567687034606934, 0.0, 0.21036536991596222, 0.0, -0.009103912196364417, 0.0, -0.08468059929302219, 0.0, 0.0, 0.791792944211984, 0.0, -0.09365324395213814, -0.8175430930887765, 0.0, 0.0, 0.0, 0.0, 0.20306365191936493, 0.0, -0.4282088577747345, 0.20568114519119263, 0.207302525639534, -0.08370358496904373, -0.2498840093612671, -0.250965416431427, -0.1539679914712906, 0.0, 0.0, 0.0, -0.10984649509191513, -0.16845828294754028, 0.8797631706744635, 0.18606413900852203, 0.0, -0.3033712070376535, 0.08009520918130875, -0.4258228838443756, -0.10489481687545776, -0.34652869987383883, 0.35523781180381775, 0.2416863739490509, -0.06325219571590424, 0.0, 0.0, 0.0, 0.0, -0.20447517931461334, 0.0, 0.0, 0.0, 0.0, 0.33940765261650085, 0.0, 0.0, 0.0, 0.0, 0.0]",-1.632037,-2.2287252
Principe,0.46,6.74,"[0.0, -0.15722118318080902, -0.48466348209446447, 0.0, -0.8279349082672105, 0.0, -0.14372259378433228, 0.07144472150817416, -0.17721816897392273, -0.12634363770484924, 0.0, 0.0, -0.5650996732713749, -0.15718530118465424, 0.17270918190479279, -0.1802639663219452, -0.319546103477478, -0.2282329040772232, -0.2695015363699468, 0.0, -0.11111791431903839, 0.08013254404067993, -0.33192479610443115, -0.1097748801112175, -0.45190927386283875, -0.1766813099384308, 0.13452419638633728, -0.7626533455802071, 0.004164926707744598, -0.23678799116896943, 0.0, -0.05677589401602745, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.26840513944625854, -0.7114500716567682, 0.0758759006857872, 0.3830123841762543, -0.1867995411157608, -0.20934562385082245, 0.0, 0.0, 0.3864185929277457, 0.0, -0.18728521466255188, 0.12825439870357513, 0.0, 0.28359758853912354, 0.0, -0.6534768400412682, -0.3302673941275249, 0.0, 0.0, -0.5688053669134829, 0.0, -0.17109035709052023, 0.26949140429496765, 0.0, 0.21108797192573547, 0.3173747956752777, 0.0, -0.051928017288446426, 0.17678239941596985, 0.0, 0.0, 0.0, 0.6332105640623036, 0.4047020370267038, 0.26457022297316546, 0.0, -0.10062127560377121, 0.0, 0.0, 0.0, 0.0, 0.19821368157863617, 0.0, 0.0, 0.33160778880119324, 0.0, -0.2010958343744278, 0.6765026068051192, 0.0, 0.0677332878112793, 0.0, -0.4659999485855079, 0.0, 0.15296053886413574, 0.0, -0.1479129195213318, 0.8178683496899914, 0.09088587393360581, 0.18678481876850128, 0.17583370208740234, 0.0, 0.0, 0.015319745987653732, 0.0, 0.0, -0.035789284855127335, -0.5461711287498474, 0.008256507106125355, -0.03319535404443741, -0.30797951404381274, 0.0, -0.21605591475963593, 0.0, 0.0, 0.8476804113292931, 0.3176574110984802, 0.0, -0.16335028409957886, -0.011220501735806465, -0.20189480483531952, 0.0, 0.0, 0.0, 0.0, 0.042695704847574234, -0.09317868202924728, 0.0, 0.49280410210553716, 0.0, 0.0, 0.324344664812088, 0.0, 0.055895332247018814, 0.0, 0.0, 0.0, 0.7928492305385564, 0.0, -0.12614542245864868, 0.0, 0.22782310843467712, -0.09315169042352245, -0.13690653443336487, 0.0, 0.0, -0.15267865359783173, 0.07378190755844116, 0.0, -0.2703942358493805, 0.07487433403730392, 0.21215467154979706, -0.23036004602909088, 0.0, -0.295088529586792, -0.1541202962398529, 0.3065078556537628, -0.3757214844226837, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22330044209957123, -0.3052713871002197, 0.6576362315004745, -0.3351539373397827, 0.0, 0.23556138575077057, 0.0, 0.0, -0.12915310263633728, 0.0, 0.1137591227889061, -0.29637596011161804, 0.3030453026294708, 0.09399116784334183, -0.1770809292793274, -0.0323866605758667, 0.34596553444862366, 0.0, 0.0, 0.0, -0.8003587929510717, -0.16893960535526276, 0.0, -0.9003962536579686, 0.09570179134607315, -0.02431417815387249, 0.0, 0.10415719449520111, -0.0330013781785965, -0.7479448914527893, -0.8298479525122023, -0.5967131521237321, -0.10661077499389648, 0.0, 0.0, 0.6135995261670728, 0.668590645901195, 0.0, -0.10492920130491257, 0.0231335386633873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06921166926622391, 0.0, 0.0, -0.48598170280456543, 0.0, 0.4723326501086944, -0.2408527433872223, 0.0, 0.0, -0.657059446022751, -0.5949750542640686, 0.37633591890335083, 0.07582653313875198, 0.0, -0.39306432008743286, -0.7893014994853009, 0.0, -0.42391863465309143, 0.08303926140069962, 0.0, 0.07974866777658463, 0.0, 0.0, 0.029942246748676515, 0.07043128460645676, -0.39359095937270916, 0.0, -0.2920936048030853, 0.0, 0.0, -0.3652871251106262, 0.0, -0.4738263348954902, -0.09061926603317261, -0.1876480132341385, -0.1464039534330368, -0.23069606721401215, 0.0, 0.0, 0.12593147158622742, -0.21400456130504608, 0.0, 0.01902456022799015, -0.09808948636054993, 0.5136207255462129, 0.1647906966207564, 0.1493244618177414, 0.002828840399160981, 0.0, 0.8675102994381871, 0.04871133342385292, 0.0, 0.09828650206327438, -0.012475788593292236, 0.7454080262045151, 0.0, 0.0, -0.3348479460131387, 0.0, 0.2956080138683319, 0.0, -0.15892775356769562, 0.0, 0.0, 0.0, 0.552498459815979, 0.0, -0.22736477580354075, 0.0, 0.7004088637560986, 0.0, -0.08590838313102722, 0.14264225959777832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05305285006761551, 0.03316424787044525, -0.36745786666870117, 0.0, 0.13820071518421173, 0.0, 0.24673105776309967, 0.0, 0.1691250503063202, -0.14788545668125153, -0.698881983757019, 0.048374373465776443, -0.14005166292190552, 0.0, -0.3067810535430908, 0.34417417645454407, 0.0, -0.4518705904483795, -0.2970127761363983, 0.0, 0.0, -0.3958521783351898, 0.16721425502361398, 0.35266464948654175, -0.1755712479352951, -0.2085256427526474, 0.07779479771852493, 0.03565004840493202, 0.36608558893203735, -0.3759429454803467, 0.0, -0.27584078907966614, -0.09796290844678879, 0.0, 0.46026918292045593, -0.054231366517055735, 0.02233562059700489, 0.041395772248506546, 0.0, 0.0, 0.04145892336964607, 0.0, 0.0, -0.2732962215983935, 0.08238311856985092, 0.0, 0.0, 0.0, 0.0, 0.06118625029921532, 0.0, 0.25468823313713074, 0.0, -0.032764945179224014, 0.02843298390507698, -0.8451814920007079, 0.07653798162937164, 0.23129716515541077, 0.13682051002979279, 0.0, 0.1310158510706103, 0.6264307013382244, 0.0, 0.0, -0.047838687896728516, 0.0, 0.0, 0.18887381255626678, 0.0, 0.0, 0.0, -0.02263026125729084, -0.14875516295433044, 0.3829784393310547, 0.005428357981145382, 0.47649621758111027, -0.19498135149478912, 0.0, 0.0, 0.36209433451247897, 0.0, 0.14378109574317932, -0.19831195552642789, -0.2417389092046861, 0.012628517113626003, 0.0, 0.11596382409334183, -0.05519307032227516, 0.0, -0.2768345607191284, 0.0, 0.0, -0.0481525035948307, 0.21600894629955292, 0.0, 0.0, -0.7762958713560068, 0.0, 0.013589117676019669, -0.07547225803136826, 0.44764081999934713, -0.16990705601635814, 0.0, -0.08905204385519028, -0.07810786366462708, 0.0, 0.3767145872116089, 0.0, 0.0, 0.1463768035173416, 0.0, 0.03852494806051254, 0.10752217471599579, 0.0, 0.0, 0.2820090353488922, -0.29622799158096313, -0.09926769137382507, -0.2866891920566559, -0.4123162031173706, 0.0, -0.07655598968267441, 0.0, -0.7138369863124251, -0.1936882883310318, 0.05695408955216408, -0.030825190246105194, 0.0, 0.0, 0.0, 0.0, -0.11305604875087738, -0.2524339556694031, -0.37072000015007944, -0.3656596541404724, -0.04872160777449608, 0.0, -0.14852355420589447, 0.0, 0.0, 0.0, -0.19619585075987267, -0.14175613224506378, 0.0, 0.7514049463468921, 0.6081628702875421, -0.13493281602859497, 0.0, 0.5577130465164577, 0.0, 0.09605176001787186, 0.2245788723230362, 0.0, 0.0, 0.011581819504499435, -0.2652921974658966, 0.0, 0.0, 0.0, 0.0903048596060314, -0.14320778706640813, 0.0, 0.14239919185638428, 0.0, 0.09730353951454163, 0.0, 0.1363862156867981, 0.21334858238697052, 0.0, -0.43998608172142856, 0.12449914216995239, 0.0, 0.19713416695594788, 0.31785085797309875, 0.4210093915462494, 0.0, 0.5387721400334824, -0.4123412798961811, 0.0, 0.154130756855011, 0.0, 0.21214410662651062, 0.20418870449066162, 0.16690732538700104, -0.12364330743673646, 0.0, 0.20190702378749847, 0.0, -0.22635287046432495, 0.0, -0.1328926384449005, -0.01524266880005598, 0.0, 0.10572969168424606, -0.10415616631507874, 0.36662766082105147, 0.0, -0.6109916821546931, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3539840579032898, 0.246229350566864, -0.07948619872331619, 0.0, 0.0, 0.02188550867140293, 0.0, -0.1939702183008194, 0.0, 0.0, 0.0, 0.8935853493257429, 0.32694879174232483, 0.0, -0.1097240298986435, 0.02713986672461033, -0.20813894271850586, -0.2441503256559372]",-1.7817485,-1.9115995
